City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,55.22,97,100,4.63,NZ,1707062669
1,port-aux-francais,-49.35,70.2167,40.44,81,77,27.67,TF,1707062669
2,menongue,-14.6585,17.691,69.67,89,100,5.53,AO,1707062669
3,saudarkrokur,65.7461,-19.6394,11.3,85,90,4.94,IS,1707062555
4,college,64.8569,-147.8028,-22.56,70,20,0.0,US,1707062488
5,bethel,41.3712,-73.414,39.02,55,0,9.22,US,1707062670
6,lubango,-14.9172,13.4925,75.06,64,75,11.5,AO,1707062669
7,altamira,-3.2033,-52.2064,80.69,94,75,5.75,BR,1707062670
8,atafu village,-8.5421,-172.5159,83.32,80,99,21.5,TK,1707062670
9,carauari,-4.8828,-66.8958,74.53,98,100,0.89,BR,1707062670
10,qaqortoq,60.7167,-46.0333,2.88,68,0,4.36,GL,1707062670
11,waitangi,-43.9535,-176.5597,58.82,92,67,10.69,NZ,1707062671
12,ilulissat,69.2167,-51.1,-3.98,50,20,8.05,GL,1707062671
13,mount pearl,47.5166,-52.7813,34.32,96,100,16.11,CA,1707062671
14,sabang,5.8933,95.3214,82.49,76,100,13.29,ID,1707062671
15,okakarara,-20.5833,17.4333,81.97,43,86,10.89,NA,1707062671
16,bargaal,11.2864,51.0773,77.72,74,9,12.24,SO,1707062671
17,edinburgh of the seven seas,-37.0676,-12.3116,60.39,71,35,21.79,SH,1707062672
18,hammerfest,70.6634,23.6821,25.25,80,40,2.3,NO,1707062672
19,blackmans bay,-43.0167,147.3167,56.73,95,98,4.97,AU,1707062672
20,amga,60.8953,131.9608,-38.6,100,68,1.25,RU,1707062672
21,katsuura,35.1333,140.3,47.86,76,100,6.73,JP,1707062672
22,stanthorpe,-28.6667,151.95,69.42,97,100,4.16,AU,1707062672
23,puerto natales,-51.7236,-72.4875,64.85,68,40,8.05,CL,1707062549
24,kirakira,-10.4544,161.9205,80.08,86,100,7.16,SB,1707062672
25,saipan,15.1355,145.701,79.5,73,20,20.71,MP,1707062672
26,revda,56.801,59.9303,11.59,96,95,4.0,RU,1707062673
27,colonia,50.9333,6.95,53.82,87,100,19.57,DE,1707062422
28,dunedin,-45.8742,170.5036,56.8,74,81,1.99,NZ,1707062451
29,lihue,21.9789,-159.3672,67.59,83,100,18.41,US,1707062673
30,hobyo,5.3505,48.5268,78.48,77,61,18.95,SO,1707062673
31,sao joao da barra,-21.6403,-41.0511,86.09,78,98,8.75,BR,1707062673
32,colby,39.3958,-101.0524,39.99,94,100,16.11,US,1707062673
